"ID_NUM","Year","Jobs","tracking_status","Scholarship Athlete","Scholarship_Sport","Affinity_Scholarship_Type","Affinity_Scholarship_Amount","Direct Costs","Tuition","Fees","Housing & Food","Books,_Supplies,_&_Other","Personal_Expenses","Travel","par_1_highest_grade_level","par_2_highest_grade_level","First_Gen_Sts","FAFSA_SUBMITTED","FAFSA_DATE","EFC","agi","fisap_income","FWS_Interest","Need","Housing","Total_Awarded_Amount","Matrix_Funds","Out_of_State","Opp","McMillan","Honors","Music","Theater","Art","Endowed","Athletic_Aid","Outside","FWS","PELL","FSEOG","SUB","Total_SUB","UNSUB","Total_UNSUB","UNSUB-PP_Denial","PLUS","PERKINS","Alt_Loan","SCTG","LIFE","HOPE","Palmetto","State_Funds"
"21226","2023","N","RP","N",""," ","0.00","27500","26400","1100","10079","0","1830","1070","","","No FAFSA","N","","","","","","","R","17500","12500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5000","0","0","5000"
"77818","2023","N","RP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","4000","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129522","2023","N","IP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132573","2023","N","HL","N",""," ","0.00","0","0","0","0","0","0","0","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140008","2023","N","HL","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","3","2","Not FG","Y","2/2/2023 12:00:00 AM","0","29986","29986","1","45700","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200182","2023","N","IP","N",""," ","0.00","0","0","0","0","0","0","0","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211547","2023","N","RP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213747","2023","N","HL","N",""," ","0.00","27500","26400","1100","10079","0","1830","1070","3","4","Not FG","Y","12/5/2022 12:00:00 AM","9145","36676","36676","2","32694","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215053","2023","N","RP","N",""," ","0.00","0","0","0","0","0","0","0","","","No FAFSA","N","","","","","","","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215532","2023","N","RP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225271","2023","N","IP","N",""," ","0.00","0","0","0","0","0","0","0","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234415","2023","N","IP","N",""," ","0.00","0","0","0","0","0","0","0","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240296","2023","N","RP","N",""," ","0.00","0","0","0","0","0","0","0","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241651","2023","N","RP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242203","2023","N","RP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249939","2023","N","RP","N",""," ","0.00","27500","26400","1100","0","0","6062","1852","","","No FAFSA","N","","","","","","","C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
